INDEX;landuse;geometry;center_geo;energysum;conversionfactor
10;commercial;POLYGON ((4543339.890770789 3280106.580010068, 4543381.807430974 3279968.846384973, 4543401.803083759 3279970.729756388, 4543420.431747215 3279972.985956445, 4543462.193495111 3279977.802315868, 4543483.551545347 3279980.159773, 4543530.724260311 3279985.633385598, 4543548.38811544 3279988.069291632, 4543530.049219809 3280145.483275883, 4543530.015067876 3280145.637702605, 4543529.094523739 3280154.252440178, 4543455.297600162 3280137.103696317, 4543453.756643998 3280136.677582801, 4543449.517853822 3280135.605987097, 4543433.931147747 3280131.659971634, 4543434.55806064 3280129.059082842, 4543384.248735201 3280117.094476008, 4543339.890770789 3280106.580010068));POINT (4543451.853969033 3280056.738754179);454,26474134161947;0,00045425599691367887
11;retail;POLYGON ((4545301.853030045 3280111.429815684, 4545342.140809331 3280092.253249506, 4545520.434973505 3280007.79770792, 4545567.269576894 3280110.446915421, 4545467.188385382 3280155.750827243, 4545398.226293912 3280188.648751523, 4545301.853030045 3280111.429815684));POINT (4545445.535930399 3280102.297378338);385,4746048553294;0,0003854671846120256
12;industrial;POLYGON ((4544368.661379425 3279244.370219854, 4544386.548783219 3279229.16097433, 4544541.516639641 3279097.444000378, 4544553.480042382 3279111.857275829, 4544577.324706871 3279140.992140174, 4544608.191528357 3279179.503413478, 4544615.610769397 3279189.254236628, 4544555.574106277 3279227.014706369, 4544443.654568309 3279325.256059431, 4544368.661379425 3279244.370219854));POINT (4544491.746807552 3279211.74525454);397,9536509773002;0,00039794599051698275
13;retail;POLYGON ((4545593.882107757 3280340.84129998, 4545685.595448134 3280298.812498514, 4545702.896263965 3280338.996433552, 4545635.769474597 3280370.3481647, 4545593.882107757 3280340.84129998));POINT (4545653.692315144 3280336.408791731);62,239875413402004;6,223867731886362e-05
14;industrial;POLYGON ((4546092.646015564 3277911.748511177, 4546123.126147006 3277904.250610858, 4546131.30651696 3277926.527571007, 4546101.771988293 3277937.823127881, 4546098.675203315 3277936.088482704, 4546092.646015564 3277911.748511177));POINT (4546111.293832544 3277920.553523154);13,555610441765559;1,3555349501287659e-05
15;retail;POLYGON ((4547615.44636579 3271239.950508291, 4547670.08970492 3271208.925638849, 4547770.731534281 3271377.991623689, 4547774.573265342 3271388.551648778, 4547775.635134005 3271393.079157494, 4547775.113637265 3271396.13012515, 4547773.799230034 3271398.543035562, 4547771.800642677 3271400.612553874, 4547768.038441312 3271403.637143485, 4547765.567462333 3271405.339582006, 4547754.476265411 3271409.887938561, 4547743.200916013 3271413.714829013, 4547731.146126857 3271416.759479119, 4547717.130163518 3271418.85618859, 4547700.048019401 3271419.207757074, 4547683.500227284 3271417.701093553, 4547661.911203646 3271414.536862929, 4547660.527466469 3271400.636115151, 4547655.455275849 3271335.740472449, 4547653.420454169 3271309.732926987, 4547615.44636579 3271239.950508291));POINT (4547693.509892126 3271328.83612468);274,1126107997885;0,0002741073342336045
16;retail;POLYGON ((4546161.278698126 3262223.677408333, 4546223.251861895 3262168.935485226, 4546178.751167464 3262117.945533894, 4546215.308942494 3262081.475647809, 4546218.792137967 3262080.798725244, 4546222.511490934 3262082.104466518, 4546245.432737657 3262103.056878099, 4546268.161328734 3262137.146679105, 4546273.939412929 3262130.212984801, 4546277.332588419 3262126.145225062, 4546329.489173682 3262087.033401376, 4546344.707449849 3262117.539425899, 4546367.730020984 3262151.587416233, 4546336.79205543 3262170.431420653, 4546345.742872531 3262183.740254267, 4546349.033711607 3262189.79480192, 4546356.857076929 3262201.40345386, 4546373.676467154 3262229.64301205, 4546454.319715918 3262172.880462207, 4546499.59794447 3262206.673786294, 4546407.715547853 3262332.842557472, 4546352.610452471 3262255.06422404, 4546339.703419941 3262262.742475651, 4546247.682621264 3262331.176435372, 4546233.0077262 3262305.3188425, 4546207.76154587 3262271.504434073, 4546176.664842755 3262238.760650942, 4546161.278698126 3262223.677408333));POINT (4546311.371896974 3262212.635211459);672,14579736642;0,0006721328588088879
17;commercial;POLYGON ((4545763.179220198 3261931.495874566, 4545840.139814754 3261812.290935568, 4545902.590902471 3261851.772188695, 4545838.467160205 3261946.315062762, 4545814.109124113 3261954.097963825, 4545763.179220198 3261931.495874566));POINT (4545833.613151712 3261887.498572355);157,4726542219717;0,00015746962293173027
18;industrial;POLYGON ((4558297.035357045 3286509.273843745, 4558464.056420166 3286386.700990243, 4558544.859704447 3286481.561425412, 4558619.14096149 3286518.545174827, 4558606.565491809 3286554.886524628, 4558581.705042079 3286542.809978393, 4558551.521885783 3286567.191453134, 4558653.547820856 3286584.902401718, 4558647.302584784 3286620.947928063, 4558639.807437957 3286662.493239058, 4558468.864502017 3286631.503086888, 4558473.135054316 3286602.459899104, 4558430.141024401 3286559.378640611, 4558395.576718347 3286582.591196991, 4558355.230687689 3286563.817999188, 4558354.097203868 3286552.966072978, 4558328.788457068 3286522.751285677, 4558317.019968493 3286509.146389027, 4558303.910491962 3286513.39414292, 4558297.035357045 3286509.273843745));POINT (4558486.826366929 3286533.453107261);746,9071033753828;0,0007468927256904132
19;commercial;POLYGON ((4558129.798027443 3286558.378308002, 4558131.283141314 3286546.761342095, 4558148.009104321 3286494.495806852, 4558165.390211265 3286433.760105598, 4558206.29409897 3286444.981583406, 4558209.373751875 3286433.887259435, 4558232.295958536 3286439.706463619, 4558223.263202523 3286478.793511851, 4558291.012149106 3286496.536851806, 4558219.937350938 3286571.919010396, 4558217.277936989 3286572.537259476, 4558211.150549261 3286572.141359589, 4558205.74926327 3286573.541029615, 4558201.793834894 3286575.589872899, 4558196.555031989 3286576.573972037, 4558129.798027443 3286558.378308002));POINT (4558198.904764578 3286509.56619035);217,1356540938982;0,00021713147431301767
20;commercial;POLYGON ((4546052.362197785 3265245.765251449, 4546076.819805786 3265206.917283353, 4546081.792555637 3265203.233373826, 4546087.625111256 3265201.282026576, 4546096.146857535 3265200.790069893, 4546106.323085409 3265202.211718203, 4546123.873368111 3265208.592730791, 4546138.60018824 3265217.786332922, 4546228.210516749 3265294.38501548, 4546302.279958428 3265357.086191599, 4546303.876421236 3265359.520826733, 4546302.013564458 3265438.825109576, 4546300.7762135 3265441.030272031, 4546298.072482633 3265442.566974089, 4546285.845367942 3265449.685504716, 4546282.282483395 3265449.924136505, 4546278.86981528 3265448.665613793, 4546232.617259193 3265417.802827536, 4546164.53481412 3265373.713186685, 4546141.288414899 3265360.967329912, 4546127.478873134 3265354.043637041, 4546114.646700716 3265348.95817191, 4546125.195496164 3265323.347081097, 4546129.916211073 3265315.206577692, 4546052.362197785 3265245.765251449));POINT (4546188.008591205 3265322.774628557);433,72325478428115;0,000433714905772345
21;commercial;POLYGON ((4555189.962810392 3270514.20342572, 4555254.457017587 3270456.55161021, 4555259.64253655 3270452.028975504, 4555262.18199465 3270455.090985037, 4555262.52222167 3270455.084849822, 4555338.928603278 3270540.393787406, 4555364.250887974 3270517.930633733, 4555369.442903466 3270523.959866157, 4555418.550840458 3270577.634326318, 4555430.205102359 3270596.405024031, 4555368.621329773 3270652.889173348, 4555293.145145809 3270597.161138183, 4555189.962810392 3270514.20342572));POINT (4555313.760470574 3270555.138170742);322,8621726405281;0,0003228559576633431
22;commercial;POLYGON ((4555202.908110925 3270798.213263021, 4555209.892752751 3270792.450082834, 4555216.795281172 3270786.270762263, 4555259.168952787 3270833.016930854, 4555290.623835549 3270821.050636731, 4555357.268602227 3270794.220803951, 4555359.862366132 3270786.165766828, 4555344.038503505 3270751.631891548, 4555391.025825555 3270720.626758724, 4555453.445004348 3270677.965234159, 4555461.025306344 3270672.408953461, 4555490.929815158 3270739.233196422, 4555498.02008687 3270755.759400449, 4555592.022882211 3270729.229844786, 4555609.83264498 3270793.318469632, 4555611.289292854 3270798.546465382, 4555627.497770646 3270856.865497778, 4555625.405511555 3270868.075164495, 4555630.587288645 3270889.24621589, 4555635.302115907 3270894.71826628, 4555551.271666517 3270918.467340805, 4555549.25074924 3270912.243190782, 4555529.888669772 3270917.818778417, 4555507.988084974 3270923.596928321, 4555483.375375391 3270930.081955765, 4555481.805042747 3270930.508732016, 4555451.272879542 3270926.707155174, 4555445.2857112 3270925.954756988, 4555433.925941039 3270924.534887203, 4555417.01805508 3270925.982397081, 4555389.676747886 3270928.394011917, 4555385.349323705 3270927.620239549, 4555359.908900324 3270919.258872506, 4555341.680352322 3270912.766546596, 4555323.54833678 3270905.532361987, 4555309.549878032 3270899.430427526, 4555292.676916054 3270889.314660583, 4555271.931262989 3270871.739409572, 4555252.59263991 3270851.456692735, 4555249.159581079 3270851.884261303, 4555236.36846693 3270844.123994073, 4555226.66287986 3270835.240021595, 4555230.99698229 3270830.743819515, 4555223.751919088 3270822.723148522, 4555222.142091994 3270820.841748063, 4555202.908110925 3270798.213263021));POINT (4555452.381087326 3270826.843745891);976,3587282151296;0,0009763399336714065
23;commercial;POLYGON ((4550651.813235796 3260922.453078695, 4550696.277321015 3260931.213454387, 4550705.499582064 3260907.554373814, 4550711.509926229 3260892.157775717, 4550712.933650285 3260888.502721614, 4550729.13006497 3260894.948047894, 4550759.745644963 3260907.533491735, 4550801.124094293 3260928.707663232, 4550821.895767498 3260942.050602556, 4550857.114883643 3260968.364892504, 4550871.569673417 3260979.865893224, 4550901.58343216 3261005.036189481, 4550903.597346025 3261006.83440312, 4550904.618717129 3261009.321808392, 4550904.101969419 3261011.637453424, 4550900.345342018 3261016.53212221, 4550903.237230523 3261018.928204655, 4550894.282592593 3261027.057356254, 4550890.187631084 3261027.234700095, 4550886.384450727 3261026.122081705, 4550872.013482003 3261021.877874671, 4550815.051303349 3261005.393646729, 4550783.583115005 3261002.048861792, 4550720.596437824 3260999.357262922, 4550684.524040225 3260997.615310192, 4550669.750422875 3260998.93475912, 4550665.011801596 3260997.578339373, 4550662.237285894 3260994.853615708, 4550661.295560322 3260991.824045132, 4550655.485925216 3260974.140586915, 4550650.62668716 3260960.322699691, 4550651.027122772 3260940.922146232, 4550651.813235796 3260922.453078695));POINT (4550762.282063057 3260964.031181621);288,15062026383856;0,00028814507347117425
