INDEX;geometry;traffic;energysum;conversionfactor
389;POINT (4561162.682739788 3264969.054551825);312480,0;6049;0,0010081728593671648
390;POINT (4561163.010928008 3264969.247807807);312480,0;6049;0,0010081728593671648
391;POINT (4545634.751615915 3261330.756394692);312030,0;6040;0,0010067209975305185
392;POINT (4545634.748477196 3261330.750658729);312030,0;6040;0,0010067209975305185
393;POINT (4547713.65730369 3281059.677168183);307729,0;5957;0,0009928444247318173
394;POINT (4547714.024218289 3281062.532312174);307729,0;5957;0,0009928444247318173
395;POINT (4553469.327749526 3282358.921259155);302954,0;5865;0,0009774385574651818
396;POINT (4547716.622201682 3281589.587705403);299034,0;5789;0,0009647912276881744
397;POINT (4540978.594439743 3275400.338986755);288412,0;5583;0,0009305208356240487
398;POINT (4540978.594661109 3275400.339082879);288412,0;5583;0,0009305208356240487
399;POINT (4549960.89040609 3279479.112056803);288180,0;5579;0,0009297723201882666
400;POINT (4549960.886672196 3279479.112146085);288180,0;5579;0,0009297723201882666
401;POINT (4553464.868744973 3282652.183568566);283424,0;5487;0,0009144277537547341
402;POINT (4553464.86069448 3282652.178124908);283424,0;5487;0,0009144277537547341
403;POINT (4566991.524133874 3272238.072600364);276629,0;5355;0,0008925046400213755
404;POINT (4564023.725230299 3273207.779552808);276586,0;5354;0,0008923659065569849
405;POINT (4564022.506797546 3273208.968377835);276586,0;5354;0,0008923659065569849
406;POINT (4551421.776355289 3261231.351698249);271620,0;5258;0,0008763438045996841
407;POINT (4551422.992725269 3261232.359227362);271620,0;5258;0,0008763438045996841
408;POINT (4540410.663601034 3273527.0401034);255351,0;4943;0,0008238541596654662
409;POINT (4540316.157556308 3273545.562840287);238251,0;4612;0,0007686834098729082
410;POINT (4540316.157197235 3273545.567786436);238251,0;4612;0,0007686834098729082
411;POINT (4560111.941949726 3277781.960059762);237482,0;4597;0,0007662023393120616
412;POINT (4560111.92750292 3277781.97169272);237482,0;4597;0,0007662023393120616
413;POINT (4537990.374401552 3263107.977929932);236082,0;4570;0,0007616854358202733
414;POINT (4544469.491955657 3283624.211373693);235710,0;4563;0,0007604852300353124
415;POINT (4543964.641766589 3261024.732862813);231300,0;4478;0,000746256984036179
416;POINT (4543964.614243346 3261024.733967709);231300,0;4478;0,000746256984036179
417;POINT (4544453.847136174 3263158.758237761);231294,0;4477;0,000746237625878357
418;POINT (4544452.079088792 3263159.542592469);231294,0;4477;0,000746237625878357
419;POINT (4566866.273185309 3275135.059281482);226909,0;4393;0,0007320900388701484
420;POINT (4566863.963746875 3275133.598854782);226909,0;4393;0,0007320900388701484
421;POINT (4565376.158826805 3276740.698036093);222606,0;4309;0,0007182070133521732
422;POINT (4565375.270679399 3276740.756281999);222606,0;4309;0,0007182070133521732
423;POINT (4562594.841724942 3279597.104562207);220537,0;4269;0,0007115316752632374
424;POINT (4560192.504356567 3277717.576017302);217454,0;4210;0,000701584808502392
425;POINT (4560192.37181048 3277717.850164953);217454,0;4210;0,000701584808502392
426;POINT (4535837.896852946 3261302.550154858);213300,0;4129;0,0006881825105703285
427;POINT (4535837.871280701 3261302.647271062);213300,0;4129;0,0006881825105703285
428;POINT (4541255.591170463 3274734.080441343);212002,0;4104;0,0006839946957615132
429;POINT (4541255.269830142 3274733.991946063);212002,0;4104;0,0006839946957615132
430;POINT (4554567.707164337 3284297.760805812);210888,0;4082;0,0006804005311259045
431;POINT (4563788.303106129 3270430.904582527);206688,0;4001;0,0006668498206505395
432;POINT (4565704.497204104 3270186.154228725);190860,0;3695;0,0006157830003162348
433;POINT (4565707.390476163 3270182.559588178);190860,0;3695;0,0006157830003162348
434;POINT (4559849.100210006 3273457.132677025);189680,0;3672;0,0006119758959445846
435;POINT (4559848.354360756 3273457.494154871);189680,0;3672;0,0006119758959445846
436;POINT (4563581.75291788 3268474.626898051);189662,0;3672;0,0006119178214711188
437;POINT (4566756.20847649 3266699.022299087);187200,0;3624;0,0006039745240448452
438;POINT (4566756.20497696 3266699.024194871);187200,0;3624;0,0006039745240448452
439;POINT (4541389.297782524 3264366.224170588);187144,0;3623;0,0006037938479051737
440;POINT (4548674.180725084 3261118.636535481);178986,0;3465;0,0005774732059865955
441;POINT (4548673.991538985 3261118.497559915);178986,0;3465;0,0005774732059865955
442;POINT (4543102.697381828 3261501.953919055);166050,0;3214;0,000535737017722471
443;POINT (4543008.490710247 3261620.902997185);164610,0;3187;0,0005310910598452029
444;POINT (4541355.314792223 3264311.89339663);163294,0;3161;0,0005268451705629218
445;POINT (4541356.117125075 3264312.123285993);163294,0;3161;0,0005268451705629218
446;POINT (4540070.327184105 3283945.181215517);160672,0;3110;0,0005183856555947296
447;POINT (4567041.336690576 3266895.645983999);159210,0;3082;0,0005136687178054477
448;POINT (4567041.421268145 3266895.854076842);159210,0;3082;0,0005136687178054477
449;POINT (4558819.734754676 3269233.611634579);151438,0;2932;0,0004885934507067482
450;POINT (4558819.671022861 3269233.535719553);151438,0;2932;0,0004885934507067482
451;POINT (4558403.154283853 3273722.268956979);148811,0;2881;0,0004801178039403711
452;POINT (4560721.872522451 3265385.074379639);144270,0;2793;0,0004654669048287918
453;POINT (4560721.047361326 3265385.799304023);144270,0;2793;0,0004654669048287918
454;POINT (4558838.87746131 3269477.153125194);136138,0;2635;0,00043923014826077533
455;POINT (4558838.882232674 3269477.157764579);136138,0;2635;0,00043923014826077533
456;POINT (4535014.029262361 3265552.924598784);122942,0;2380;0,00039665510649103294
457;POINT (4555787.800827114 3281995.755315559);117720,0;2279;0,0003798070564666623
458;POINT (4572228.914063685 3264976.900589159);117450,0;2274;0,00037893593936467454
459;POINT (4572228.960082888 3264975.2046566);117450,0;2274;0,00037893593936467454
460;POINT (4558777.443890925 3273609.744617863);113368,0;2195;0,00036576593932647445
461;POINT (4558777.551393447 3273610.011177533);113368,0;2195;0,00036576593932647445
462;POINT (4559738.790385455 3273932.94684481);106290,0;2058;0,0003429297658158472
463;POINT (4536894.10909654 3270882.410872074);99180,0;1920;0,0003199903487968363
464;POINT (4558778.852535891 3287063.611125947);98370,0;1904;0,000317376997490873
465;POINT (4558778.498930583 3287064.343104654);98370,0;1904;0,000317376997490873
466;POINT (4569053.785627536 3258338.572008649);89910,0;1741;0,00029008199496192327
467;POINT (4569054.169859674 3258334.674394485);89910,0;1741;0,00029008199496192327
468;POINT (4558401.600864454 3274060.58960297);88551,0;1714;0,0002856973722152516
469;POINT (4558401.598980623 3274060.589040582);88551,0;1714;0,0002856973722152516
470;POINT (4570377.53980724 3261896.929507957);83618,0;1619;0,00026978174012597155
471;POINT (4564672.069805988 3263763.0123621);76436,0;1480;0,0002466100252130972
472;POINT (4564672.071447424 3263763.007394138);76436,0;1480;0,0002466100252130972
473;POINT (4539959.222870942 3280064.113367247);58920,0;1141;0,00019009710981155066
474;POINT (4539956.861239221 3280061.206314249);58920,0;1141;0,00019009710981155066
475;POINT (4540670.061876058 3281858.671682149);53640,0;1038;0,0001730619309282345
476;POINT (4575341.562487676 3264209.299759209);27810,0;538;8,972506150473903e-05
477;POINT (4568060.231298963 3259315.446265381);10980,0;213;3,5425428814168805e-05
478;POINT (4568060.221064599 3259317.207418617);10980,0;213;3,5425428814168805e-05
